"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Roxo webpage Test Suite","Registration","Test whether the test is executed on the intended URL","0","0","1","0","0"
"Roxo webpage Test Suite","Data Listing","There are six Team Members displayed on the About Page","0","0","1","0","0"
"Roxo webpage Test Suite","Registration","Successful register with valid credentials multiple times","0","0","1","0","0"
"Roxo webpage Test Suite","Data Listing","Correct details are displayed on the About Page","0","0","1","0","0"
"Roxo webpage Test Suite","Logout","User successfully logs out","0","0","1","0","0"
"Roxo webpage Test Suite","New Data Entry","Test whether the test is executed on the intended URL","0","0","1","0","0"
"Roxo webpage Test Suite","Existing Data Deletion","User's profile can be deleted","0","0","1","0","0"
"Roxo webpage Test Suite","Data Listing","Test whether the test is executed on the intended URL","0","0","1","0","0"
"Roxo webpage Test Suite","Terms and Conditions","User navigated to the Registration and Login page and the displayed Terms and Conditions disappears after clicking on the Accept button","0","0","1","0","0"
"Roxo webpage Test Suite","Multi Page list","User can see all titles from all pages","0","0","1","0","0"
"Roxo webpage Test Suite","Multi Page list","Test whether the test is executed on the intended URL","0","0","1","0","0"
"Roxo webpage Test Suite","Terms and Conditions","User navigated to the Registration and Login page and Terms and Conditions is displayed","0","0","1","0","0"
"Roxo webpage Test Suite","","Test whether the test is executed on the intended URL","0","0","2","0","0"
"Roxo webpage Test Suite","Terms and Conditions","Test whether the test is executed on the intended URL","0","0","1","0","0"
"Roxo webpage Test Suite","New Data Entry","Message can be sent from the contact form and confirmation pops up","1","0","0","0","0"
"Roxo webpage Test Suite","Data Listing","User checks the navbar for all items present","0","0","1","0","0"
"","Write Data To File","The header contents of the Portfolio page is written into a file and is checked for correct contents","0","0","1","0","0"
"Roxo webpage Test Suite","Login","User successfully logs in with valid credentials","0","0","1","0","0"
"Roxo webpage Test Suite","Existing Data Modification","User's profile can be modified","0","0","1","0","0"
"","","Test whether the test is executed on the intended URL","0","0","1","0","0"
