"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 18:37:33 GMT 2023","Sun May 07 18:37:37 GMT 2023","4567","","Registration Tests","","com.codecool.vizsgaremek.functions.TestRegistration","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Sun May 07 18:37:34 GMT 2023","Sun May 07 18:37:42 GMT 2023","7756","","Data Listing Tests","","com.codecool.vizsgaremek.functions.TestDataListing","numberOfTeamMembers","Test number of team members","Test to see if there are six team members displayed on the page"
"passed","Sun May 07 18:37:34 GMT 2023","Sun May 07 18:37:46 GMT 2023","12518","","Registration Tests","","com.codecool.vizsgaremek.functions.TestRegistration","multipleRegistration","Registration is possible","Registers multiple users from ""test_logins.yml"""
"passed","Sun May 07 18:37:35 GMT 2023","Sun May 07 18:37:42 GMT 2023","7060","","Data Listing Tests","","com.codecool.vizsgaremek.functions.TestDataListing","correctMembersDetails","Test details (name, occupation) of Team Members","Testing the name and occupation of each Team Member"
"passed","Sun May 07 18:37:32 GMT 2023","Sun May 07 18:37:41 GMT 2023","9173","","Login and logout Tests","","com.codecool.vizsgaremek.functions.TestLoginAndLogout","logout","Test logout capabilities","Logout is possible"
"passed","Sun May 07 18:37:30 GMT 2023","Sun May 07 18:37:37 GMT 2023","6925","","New Data Entry Tests","","com.codecool.vizsgaremek.functions.TestNewDataEntry","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Sun May 07 18:37:32 GMT 2023","Sun May 07 18:37:43 GMT 2023","10839","","Existing Data Modification And Deletion Tests","","com.codecool.vizsgaremek.functions.TestExistingDataModificationAndDeletion","deleteProfile","Delete existing User profile","Test whether the user's profile can be deleted"
"passed","Sun May 07 18:37:34 GMT 2023","Sun May 07 18:37:40 GMT 2023","5537","","Data Listing Tests","","com.codecool.vizsgaremek.functions.TestDataListing","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Sun May 07 18:37:32 GMT 2023","Sun May 07 18:37:37 GMT 2023","5164","","Terms and Conditions Tests","","com.codecool.vizsgaremek.functions.TestTermsAndConditions","acceptTnC","The ""Terms and Conditions"" pop up can be accepted","The ""Terms and Conditions"" pop up can be accepted"
"passed","Sun May 07 18:37:33 GMT 2023","Sun May 07 18:37:41 GMT 2023","7897","","Multi Page list Tests","","com.codecool.vizsgaremek.functions.TestMultiPageList","gatherAllTitles","Titles gathered from multiple pages","Test to gather titles from multiple pages"
"passed","Sun May 07 18:37:33 GMT 2023","Sun May 07 18:37:39 GMT 2023","6323","","Multi Page list Tests","","com.codecool.vizsgaremek.functions.TestMultiPageList","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Sun May 07 18:37:32 GMT 2023","Sun May 07 18:37:36 GMT 2023","4075","","Terms and Conditions Tests","","com.codecool.vizsgaremek.functions.TestTermsAndConditions","tnCVisible","The ""Terms and Conditions"" pop up is displayed","The ""Terms and Conditions"" pop up is displayed"
"passed","Sun May 07 18:37:32 GMT 2023","Sun May 07 18:37:42 GMT 2023","10046","","Existing Data Modification And Deletion Tests","","com.codecool.vizsgaremek.functions.TestExistingDataModificationAndDeletion","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Sun May 07 18:37:32 GMT 2023","Sun May 07 18:37:36 GMT 2023","3888","","Terms and Conditions Tests","","com.codecool.vizsgaremek.functions.TestTermsAndConditions","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"failed","Sun May 07 18:37:32 GMT 2023","Sun May 07 18:37:41 GMT 2023","9086","","New Data Entry Tests","","com.codecool.vizsgaremek.functions.TestNewDataEntry","sendMessage","Send message test","Test to send a message on the Contact form"
"passed","Sun May 07 18:37:31 GMT 2023","Sun May 07 18:37:37 GMT 2023","6329","","Login and logout Tests","","com.codecool.vizsgaremek.functions.TestLoginAndLogout","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Sun May 07 18:37:30 GMT 2023","Sun May 07 18:37:38 GMT 2023","8420","","Data Listing Tests","","com.codecool.vizsgaremek.functions.TestDataListing","verifyNavBarItems","Navbar content test","The navbar contains all items specified, possible multilingual test"
"passed","Sun May 07 18:37:33 GMT 2023","Sun May 07 18:37:40 GMT 2023","6381","","Write Data To File Tests","","com.codecool.vizsgaremek.functions.TestWriteDataToFile","writeHeaderTextToFile","Content from page written to file","Content from the webpage is successfully written into a file"
"passed","Sun May 07 18:37:32 GMT 2023","Sun May 07 18:37:41 GMT 2023","9557","","Login and logout Tests","","com.codecool.vizsgaremek.functions.TestLoginAndLogout","login","Test login capabilities","Login is possible"
"passed","Sun May 07 18:37:32 GMT 2023","Sun May 07 18:37:43 GMT 2023","10863","","Existing Data Modification And Deletion Tests","","com.codecool.vizsgaremek.functions.TestExistingDataModificationAndDeletion","profileModification","Modify existing User profile","Test whether the user's profile is modifiable"
"passed","Sun May 07 18:37:33 GMT 2023","Sun May 07 18:37:39 GMT 2023","5434","","Write Data To File Tests","","com.codecool.vizsgaremek.functions.TestWriteDataToFile","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
